,min_child_weight,colsample_bytree,scale_pos_weight,max_delta_step,subsample,eta,alpha,lambda,max_depth,gamma,max_bin,auc
0,63.0,0.8048781011773134,4.836916589881941,9.842696679318104,0.6633636530567292,0.01332859232987833,0.6581831053818618,4.347055535458154,11.0,5.30696833029506,255.0,0.888841
1,63.0,0.8048781011773134,4.836916589881941,9.842696679318104,0.6633636530567292,0.01332859232987833,0.6581831053818618,5.1412821196069665,11.0,5.30696833029506,255.0,0.888841
2,63.0,0.8048781011773134,4.836916589881941,9.842696679318104,0.6633636530567292,0.01332859232987833,0.6581831053818618,5.644085217910551,11.0,5.30696833029506,255.0,0.888841
3,63.0,0.8048781011773134,5.459504110457541,9.38902144843058,0.6633636530567292,0.01332859232987833,0.6484760421176832,3.20513339366573,13.0,5.30696833029506,255.0,0.8888030000000001
4,63.0,0.7866089868668842,4.304279424864589,8.850454087306193,0.6633636530567292,0.01332859232987833,0.6484760421176832,4.671604069719292,13.0,5.30696833029506,255.0,0.8888030000000001
5,63.0,0.8048781011773134,4.722155182175827,8.850454087306193,0.6633636530567292,0.01332859232987833,0.6484760421176832,0.7346378707263587,13.0,5.30696833029506,255.0,0.8888030000000001
6,63.0,0.8048781011773134,4.397194923841811,8.850454087306193,0.6633636530567292,0.01332859232987833,0.6484760421176832,0.7346378707263587,13.0,5.30696833029506,255.0,0.8888030000000001
7,63.0,0.8048781011773134,5.459504110457541,9.38902144843058,0.6633636530567292,0.01332859232987833,0.6484760421176832,7.976851437324008,13.0,5.30696833029506,255.0,0.8888030000000001
8,63.0,0.7866089868668842,4.722155182175827,8.850454087306193,0.6633636530567292,0.01332859232987833,0.6484760421176832,0.7346378707263587,13.0,5.30696833029506,255.0,0.8888030000000001
9,63.0,0.7866089868668842,4.722155182175827,8.850454087306193,0.6633636530567292,0.01332859232987833,0.6484760421176832,4.671604069719292,13.0,5.30696833029506,255.0,0.8888030000000001
